subgenre_id,subgenre_name,subgenre_url,genre_id
1,Action,https://itunes.apple.com/us/genre/ios-games-action/id7001?mt=8,8
2,Adventure,https://itunes.apple.com/us/genre/ios-games-adventure/id7002?mt=8,8
3,Arcade,https://itunes.apple.com/us/genre/ios-games-arcade/id7003?mt=8,8
4,Board,https://itunes.apple.com/us/genre/ios-games-board/id7004?mt=8,8
5,Card,https://itunes.apple.com/us/genre/ios-games-card/id7005?mt=8,8
6,Casino,https://itunes.apple.com/us/genre/ios-games-casino/id7006?mt=8,8
7,Dice,https://itunes.apple.com/us/genre/ios-games-dice/id7007?mt=8,8
8,Educational,https://itunes.apple.com/us/genre/ios-games-educational/id7008?mt=8,8
9,Family,https://itunes.apple.com/us/genre/ios-games-family/id7009?mt=8,8
10,Music,https://itunes.apple.com/us/genre/ios-games-music/id7011?mt=8,8
11,Puzzle,https://itunes.apple.com/us/genre/ios-games-puzzle/id7012?mt=8,8
12,Racing,https://itunes.apple.com/us/genre/ios-games-racing/id7013?mt=8,8
13,Role Playing,https://itunes.apple.com/us/genre/ios-games-role-playing/id7014?mt=8,8
14,Simulation,https://itunes.apple.com/us/genre/ios-games-simulation/id7015?mt=8,8
15,Sports,https://itunes.apple.com/us/genre/ios-games-sports/id7016?mt=8,8
16,Strategy,https://itunes.apple.com/us/genre/ios-games-strategy/id7017?mt=8,8
17,Trivia,https://itunes.apple.com/us/genre/ios-games-trivia/id7018?mt=8,8
18,Word,https://itunes.apple.com/us/genre/ios-games-word/id7019?mt=8,8
19,Arts & Photography,https://itunes.apple.com/us/genre/ios-arts-photography/id13007?mt=8,15
20,Automotive,https://itunes.apple.com/us/genre/ios-automotive/id13006?mt=8,15
21,Brides & Weddings,https://itunes.apple.com/us/genre/ios-brides-weddings/id13008?mt=8,15
22,Business & Investing,https://itunes.apple.com/us/genre/ios-business-investing/id13009?mt=8,15
23,Children's Magazines,https://itunes.apple.com/us/genre/ios-childrens-magazines/id13010?mt=8,15
24,Computers & Internet,https://itunes.apple.com/us/genre/ios-computers-internet/id13011?mt=8,15
25,"Cooking, Food & Drink",https://itunes.apple.com/us/genre/ios-cooking-food-drink/id13012?mt=8,15
26,Crafts & Hobbies,https://itunes.apple.com/us/genre/ios-crafts-hobbies/id13013?mt=8,15
27,Electronics & Audio,https://itunes.apple.com/us/genre/ios-electronics-audio/id13014?mt=8,15
28,Entertainment,https://itunes.apple.com/us/genre/ios-entertainment/id13015?mt=8,15
29,Fashion & Style,https://itunes.apple.com/us/genre/ios-fashion-style/id13002?mt=8,15
30,"Health, Mind & Body",https://itunes.apple.com/us/genre/ios-health-mind-body/id13017?mt=8,15
31,History,https://itunes.apple.com/us/genre/ios-history/id13018?mt=8,15
32,Home & Garden,https://itunes.apple.com/us/genre/ios-home-garden/id13003?mt=8,15
33,Literary Magazines & Journals,https://itunes.apple.com/us/genre/ios-literary-magazines-journals/id13019?mt=8,15
34,Men's Interest,https://itunes.apple.com/us/genre/ios-mens-interest/id13020?mt=8,15
35,Movies & Music,https://itunes.apple.com/us/genre/ios-movies-music/id13021?mt=8,15
36,News & Politics,https://itunes.apple.com/us/genre/ios-news-politics/id13001?mt=8,15
37,Outdoors & Nature,https://itunes.apple.com/us/genre/ios-outdoors-nature/id13004?mt=8,15
38,Parenting & Family,https://itunes.apple.com/us/genre/ios-parenting-family/id13023?mt=8,15
39,Pets,https://itunes.apple.com/us/genre/ios-pets/id13024?mt=8,15
40,Professional & Trade,https://itunes.apple.com/us/genre/ios-professional-trade/id13025?mt=8,15
41,Regional News,https://itunes.apple.com/us/genre/ios-regional-news/id13026?mt=8,15
42,Science,https://itunes.apple.com/us/genre/ios-science/id13027?mt=8,15
43,Sports & Leisure,https://itunes.apple.com/us/genre/ios-sports-leisure/id13005?mt=8,15
44,Teens,https://itunes.apple.com/us/genre/ios-teens/id13028?mt=8,15
45,Travel & Regional,https://itunes.apple.com/us/genre/ios-travel-regional/id13029?mt=8,15
46,Women's Interest,https://itunes.apple.com/us/genre/ios-womens-interest/id13030?mt=8,15
